NOME_SOLU|VAL_SOLUCAO_INICIAL|VAL_SOLUCAO_POS_REFI|QTD_ITERACOES|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instanceLarge530_m=5_n=100_l=30_c=20_s=1|9343|8992|114|15.0528|16.4999|31.6534
instanceLarge531_m=5_n=100_l=30_c=20_s=2|686|688|10|11.478|1.13623|12.6844
instanceLarge532_m=5_n=100_l=30_c=20_s=0|3093|3093|19|14.0542|2.25542|16.3871
instanceLarge533_m=5_n=100_l=30_c=20_s=1|9486|9486|19|15.4375|2.32667|17.8448
instanceLarge534_m=5_n=100_l=30_c=20_s=2|678|678|28|11.0454|3.10926|14.2239
instanceLarge535_m=5_n=100_l=30_c=20_s=0|6050|6007|40|15.3326|4.98727|20.4017
instanceLarge536_m=5_n=100_l=30_c=20_s=1|9312|9380|15|15.0114|1.80844|16.8947
instanceLarge537_m=5_n=100_l=30_c=20_s=2|660|660|19|11.6847|2.08473|13.8419
instanceLarge538_m=5_n=100_l=30_c=20_s=0|4762|4764|1|15.2743|0.277072|15.6324
instanceLarge539_m=5_n=100_l=30_c=20_s=1|9241|9028|39|15.6404|4.95043|20.6753
instanceLarge540_m=5_n=100_l=30_c=20_s=2|661|661|18|12.1249|2.00365|14.2
instanceLarge541_m=5_n=100_l=40_c=20_s=0|8107|8108|19|12.0198|1.91354|13.9964
instanceLarge542_m=5_n=100_l=40_c=20_s=1|9757|9757|20|11.9551|1.99596|14.0156
instanceLarge543_m=5_n=100_l=40_c=20_s=2|692|692|19|8.7117|1.55907|10.3239
instanceLarge544_m=5_n=100_l=40_c=20_s=0|6592|6616|38|11.7125|3.78087|15.5594
instanceLarge545_m=5_n=100_l=40_c=20_s=1|9952|9981|19|12.2279|2.01536|14.3058
instanceLarge546_m=5_n=100_l=40_c=20_s=2|731|731|38|8.97892|3.42453|12.4623
instanceLarge547_m=5_n=100_l=40_c=20_s=0|3794|3802|12|13.7531|1.43287|15.2608
instanceLarge548_m=5_n=100_l=40_c=20_s=1|9641|9557|34|12.0018|3.36303|15.4307
instanceLarge549_m=5_n=100_l=40_c=20_s=2|702|701|36|9.04268|3.30869|12.4105
instanceLarge550_m=5_n=100_l=40_c=20_s=0|7494|7546|3|11.5123|0.384996|11.9575
instanceLarge551_m=5_n=100_l=40_c=20_s=1|9823|9803|42|11.5598|4.15001|15.7763
instanceLarge552_m=5_n=100_l=40_c=20_s=2|
