NOME_INSTANCIA|MAKESPAN|QTD_ITERACOES|INTER_MELHOR_GLOBAL|QTD_ALTER_MELHOR_GLOBAL|MELHORA_2APT|MELHORA_2SWAP|TEMPO_EXEC
instance551_m=3_n=15_l=15_c=10_s=1_3|328|1000|14|7|1|1|72.1773
instance551_m=3_n=15_l=15_c=10_s=1_4|296|1000|153|11|1|1|73.2417
instance551_m=3_n=15_l=15_c=10_s=1_5|296|1000|84|9|1|1|70.5474
instance551_m=3_n=15_l=15_c=10_s=1_6|296|1000|68|9|1|1|70.7719
instance551_m=3_n=15_l=15_c=10_s=1_7|296|1000|210|8|1|1|72.5041
instance551_m=3_n=15_l=15_c=10_s=1_8|325|1000|199|7|1|1|72.0983
instance551_m=3_n=15_l=15_c=10_s=1_9|296|1000|18|7|1|1|71.1051
instance569_m=3_n=15_l=15_c=10_s=1_0|252|1000|10|6|1|1|72.9513
instance569_m=3_n=15_l=15_c=10_s=1_1|252|1000|988|11|1|1|74.4894
instance569_m=3_n=15_l=15_c=10_s=1_2|250|1000|93|7|1|1|74.7568
instance569_m=3_n=15_l=15_c=10_s=1_3|252|1000|16|5|1|1|70.856
instance569_m=3_n=15_l=15_c=10_s=1_4|252|1000|649|8|1|1|74.237
instance569_m=3_n=15_l=15_c=10_s=1_5|252|1000|35|4|1|1|74.8961
instance569_m=3_n=15_l=15_c=10_s=1_6|252|1000|102|8|1|1|73.8422
instance569_m=3_n=15_l=15_c=10_s=1_7|250|1000|72|9|1|1|72.8386
instance569_m=3_n=15_l=15_c=10_s=1_8|256|1000|432|10|1|1|74.4486
instance569_m=3_n=15_l=15_c=10_s=1_9|250|1000|344|13|1|1|71.8694
instance586_m=3_n=15_l=15_c=10_s=0_0|301|1000|338|7|1|1|103.83
instance586_m=3_n=15_l=15_c=10_s=0_1|305|1000|751|7|1|1|106.642
instance586_m=3_n=15_l=15_c=10_s=0_2|286|1000|123|8|1|1|101.495
instance586_m=3_n=15_l=15_c=10_s=0_3|295|1000|249|11|1|1|105.065
instance586_m=3_n=15_l=15_c=10_s=0_4|295|1000|860|6|1|1|97.6913
instance586_m=3_n=15_l=15_c=10_s=0_5|283|1000|620|11|1|1|104.203
instance586_m=3_n=15_l=15_c=10_s=0_6|303|1000|357|13|1|1|106.175
instance586_m=3_n=15_l=15_c=10_s=0_7|297|1000|566|9|1|1|106.397
instance586_m=3_n=15_l=15_c=10_s=0_8|288|1000|270|13|1|1|102.665
instance586_m=3_n=15_l=15_c=10_s=0_9|283|1000|944|13|1|1|104.848
instance622_m=3_n=15_l=20_c=8_s=0_0|333|1000|92|13|1|1|75.8831
instance622_m=3_n=15_l=20_c=8_s=0_1|336|1000|667|7|1|1|77.7836
instance622_m=3_n=15_l=20_c=8_s=0_2|333|1000|491|15|1|1|76.7843
instance622_m=3_n=15_l=20_c=8_s=0_3|333|1000|451|13|1|1|76.1663
instance622_m=3_n=15_l=20_c=8_s=0_4|333|1000|476|10|1|1|75.1918
instance622_m=3_n=15_l=20_c=8_s=0_5|333|1000|189|8|1|1|76.0621
instance622_m=3_n=15_l=20_c=8_s=0_6|333|1000|46|8|1|1|74.7198
instance622_m=3_n=15_l=20_c=8_s=0_7|340|1000|62|7|1|1|75.8407
instance622_m=3_n=15_l=20_c=8_s=0_8|351|1000|23|4|1|1|76.1619
instance622_m=3_n=15_l=20_c=8_s=0_9|336|1000|959|11|1|1|76.5297
instance624_m=3_n=15_l=20_c=8_s=2_0|146|1000|158|6|1|1|77.448
