NOME_SOLU|VAL_SOLUCAO_INICIAL|QTD_TROCAS_SOL_INCIAL|VAL_SOLUCAO_POS_REFI|QTD_TROCAS_POS_REFI|QTD_ITERACOES|HOUVE_MELHORA|TEMPO_HC|TEMPO_REF|TEMPO_TOTAL 
instance1144_m=3_n=25_l=20_c=15_s=0|422|22|422|22|3|não|0.0214737|0.0050852|0.0277291
instance1145_m=3_n=25_l=20_c=15_s=1|824|24|824|24|4|não|0.0217306|0.0055709|0.0282923
instance1146_m=3_n=25_l=20_c=15_s=2|270|21|270|21|5|não|0.0144647|0.0061554|0.0215927
instance1147_m=3_n=25_l=20_c=15_s=0|528|15|528|15|2|não|0.0139478|0.002999|0.0178845
instance1148_m=3_n=25_l=20_c=15_s=1|568|15|568|15|2|não|0.0127435|0.0027989|0.0163829
instance1149_m=3_n=25_l=20_c=15_s=2|282|13|282|13|2|não|0.0124534|0.0030662|0.0170262
instance1150_m=3_n=25_l=20_c=15_s=0|410|20|410|20|4|não|0.0190146|0.0075624|0.027793
instance1151_m=3_n=25_l=20_c=15_s=1|679|17|679|17|2|não|0.0172018|0.0034376|0.0216693
instance1152_m=3_n=25_l=20_c=15_s=2|318|17|318|17|4|não|0.0143289|0.0059171|0.0212278
instance1153_m=3_n=25_l=20_c=15_s=0|747|25|747|25|3|não|0.0183203|0.0068807|0.0265195
instance1154_m=3_n=25_l=20_c=15_s=1|957|25|957|25|3|não|0.0174016|0.0053582|0.0244758
instance1155_m=3_n=25_l=20_c=15_s=2|290|18|290|18|4|não|0.0199556|0.0082993|0.0293464
instance1156_m=3_n=25_l=20_c=15_s=0|479|18|479|18|3|não|0.0247554|0.0067306|0.0324043
instance1157_m=3_n=25_l=20_c=15_s=1|633|18|633|18|3|não|0.0186611|0.0081584|0.0281791
instance1158_m=3_n=25_l=20_c=15_s=2|229|11|229|11|4|não|0.0144172|0.004211|0.0194363
instance1159_m=3_n=25_l=20_c=15_s=0|455|21|455|21|3|não|0.0197694|0.0064666|0.0272314
instance1160_m=3_n=25_l=20_c=15_s=1|779|22|779|22|3|não|0.0153046|0.0044906|0.0214872
instance1161_m=3_n=25_l=20_c=15_s=2|222|19|222|19|4|não|0.0294782|0.0080511|0.0384598
instance1162_m=3_n=25_l=20_c=15_s=0|502|16|502|16|3|não|0.0125418|0.0040179|0.0174727
instance1163_m=3_n=25_l=20_c=15_s=1|578|16|578|16|3|não|0.0140778|0.0039818|0.0191569
instance1164_m=3_n=25_l=20_c=15_s=2|259|17|259|17|2|não|0.0166734|0.0032207|0.0208532
instance1165_m=3_n=25_l=20_c=15_s=0|667|21|667|21|3|não|0.0146335|0.0043249|0.0199554
instance1166_m=3_n=25_l=20_c=15_s=1|775|21|775|21|3|não|0.0145859|0.0043314|0.0199116
instance1167_m=3_n=25_l=20_c=15_s=2|248|15|248|15|3|não|0.0143384|0.0034176|0.0185705
instance1168_m=3_n=25_l=20_c=15_s=0|396|23|396|23|3|não|0.0341052|0.0102179|0.0465699
instance1169_m=3_n=25_l=20_c=15_s=1|819|24|819|24|3|não|0.0212219|0.0080816|0.0306826
instance1170_m=3_n=25_l=20_c=15_s=2|245|17|245|17|3|não|0.0206445|0.005413|0.0269086
instance1171_m=3_n=25_l=20_c=15_s=0|356|11|356|11|2|não|0.008469|0.0018942|0.0109412
instance1172_m=3_n=25_l=20_c=15_s=1|532|11|532|11|2|não|0.0115054|0.0018944|0.0139641
instance1173_m=3_n=25_l=20_c=15_s=2|266|10|266|10|1|não|0.0104207|0.0012498|0.0122019
instance1174_m=3_n=25_l=20_c=15_s=0|342|17|342|17|4|não|0.0106767|0.004572|0.0161031
instance1175_m=3_n=25_l=20_c=15_s=1|565|13|565|13|2|não|0.0103988|0.0019801|0.0129597
instance1176_m=3_n=25_l=20_c=15_s=2|292|10|292|10|4|não|0.0105895|0.0033751|0.0145087
instance1177_m=3_n=25_l=20_c=15_s=0|401|12|401|12|1|não|0.0090041|0.001527|0.0111755
instance1178_m=3_n=25_l=20_c=15_s=1|591|12|591|12|2|não|0.0091213|0.0019363|0.0116385
instance1179_m=3_n=25_l=20_c=15_s=2|317|12|317|12|3|não|0.009462|0.0025039|0.0125413
instance1180_m=3_n=25_l=20_c=15_s=0|539|14|539|14|2|não|0.0100216|0.0023221|0.0130404
instance1181_m=3_n=25_l=20_c=15_s=1|605|14|605|14|2|não|0.0124271|0.002328|0.0154527
instance1182_m=3_n=25_l=20_c=15_s=2|268|15|268|15|1|não|0.0100932|0.0016014|0.0123817
instance1183_m=3_n=25_l=20_c=15_s=0|260|13|260|13|3|não|0.0121201|0.0028329|0.0156568
instance1184_m=3_n=25_l=20_c=15_s=1|498|14|498|14|3|não|0.0109127|0.0028441|0.0143941
instance1185_m=3_n=25_l=20_c=15_s=2|201|13|201|13|3|não|0.01036|0.0028789|0.0138842
instance1186_m=3_n=25_l=20_c=15_s=0|395|12|395|12|2|não|0.0088548|0.0019008|0.0112957
instance1187_m=3_n=25_l=20_c=15_s=1|487|12|487|12|2|não|0.0097775|0.0021352|0.0125118
instance1188_m=3_n=25_l=20_c=15_s=2|230|11|230|11|2|não|0.0089109|0.002259|0.011787
instance1189_m=3_n=25_l=20_c=15_s=0|457|12|457|12|2|não|0.0123478|0.001907|0.0148195
instance1190_m=3_n=25_l=20_c=15_s=1|553|12|553|12|3|não|0.0104922|0.0027861|0.0139197
instance1191_m=3_n=25_l=20_c=15_s=2|239|12|239|12|4|não|0.0108419|0.0034845|0.014979
